jurisdiction,state,type,priority
Kingsford Heights town, Indiana,Place,No
Kirklin town, Indiana,Place,No
Knightstown town, Indiana,Place,Yes
Knightsville town, Indiana,Place,No
Knox city, Indiana,Place,No
Kokomo city, Indiana,Place,Yes
Koontz Lake CDP, Indiana,Place,No
Kouts town, Indiana,Place,Yes
Laconia town, Indiana,Place,No
La Crosse town, Indiana,Place,No
Ladoga town, Indiana,Place,No
Lafayette city, Indiana,Place,No
La Fontaine town, Indiana,Place,Yes
Lagrange town, Indiana,Place,Yes
Lagro town, Indiana,Place,Yes
Lake Dalecarlia CDP, Indiana,Place,Yes
Lake Holiday CDP, Indiana,Place,Yes
Lake Santee CDP, Indiana,Place,Yes
Lakes of the Four Seasons CDP, Indiana,Place,No
Lake Station city, Indiana,Place,No
Laketon CDP, Indiana,Place,No
Lake Village CDP, Indiana,Place,No
Lakeville town, Indiana,Place,Yes
Landess CDP, Indiana,Place,No
Lanesville town, Indiana,Place,No
La Paz town, Indiana,Place,No
Lapel town, Indiana,Place,No
La Porte city, Indiana,Place,No
Larwill town, Indiana,Place,Yes
Laurel town, Indiana,Place,Yes
Lawrence city, Indiana,Place,No
Lawrenceburg city, Indiana,Place,No
Leavenworth town, Indiana,Place,Yes
Lebanon city, Indiana,Place,No
Leesburg town, Indiana,Place,Yes
Leo-Cedarville town, Indiana,Place,No
Lewisville town, Indiana,Place,Yes
Liberty town, Indiana,Place,Yes
Ligonier city, Indiana,Place,No
Linden town, Indiana,Place,No
Linton city, Indiana,Place,No
Little York town, Indiana,Place,Yes
Livonia town, Indiana,Place,No
Lizton town, Indiana,Place,Yes
Logansport city, Indiana,Place,No
Long Beach town, Indiana,Place,Yes
Loogootee city, Indiana,Place,No
Losantville town, Indiana,Place,No
Lowell town, Indiana,Place,No
Lynn town, Indiana,Place,Yes
Lynnville town, Indiana,Place,Yes
Lyons town, Indiana,Place,No
McCordsville town, Indiana,Place,Yes
Mackey town, Indiana,Place,No
Macy town, Indiana,Place,Yes
Madison city, Indiana,Place,No
Manilla CDP, Indiana,Place,No
Marengo town, Indiana,Place,Yes
Marion city, Indiana,Place,No
Markle town, Indiana,Place,No
Markleville town, Indiana,Place,No
Marshall town, Indiana,Place,Yes
Martinsville city, Indiana,Place,No
Matthews town, Indiana,Place,Yes
Mauckport town, Indiana,Place,Yes
Mecca town, Indiana,Place,No
Medaryville town, Indiana,Place,No
Medora town, Indiana,Place,Yes
Mellott town, Indiana,Place,No
Melody Hill CDP, Indiana,Place,No
Memphis CDP, Indiana,Place,Yes
Mentone town, Indiana,Place,Yes
Meridian Hills town, Indiana,Place,Yes
Merom town, Indiana,Place,Yes
Merrillville town, Indiana,Place,No
Metamora CDP, Indiana,Place,Yes
Mexico CDP, Indiana,Place,No
Michiana Shores town, Indiana,Place,Yes
Michigan City city, Indiana,Place,No
Michigantown town, Indiana,Place,No
Middlebury town, Indiana,Place,Yes
Middletown town, Indiana,Place,Yes
Mier CDP, Indiana,Place,No
Milan town, Indiana,Place,Yes
Milford town, Indiana,Place,No
Millersburg town, Indiana,Place,No
Millhousen town, Indiana,Place,No
Milltown town, Indiana,Place,No
Milroy CDP, Indiana,Place,No
Milton town, Indiana,Place,No
Mishawaka city, Indiana,Place,No
Mitchell city, Indiana,Place,Yes
Modoc town, Indiana,Place,No
Monon town, Indiana,Place,Yes
Monroe town, Indiana,Place,No
Monroe City town, Indiana,Place,Yes
Monroeville town, Indiana,Place,Yes
Monrovia town, Indiana,Place,Yes
Monterey town, Indiana,Place,Yes
Montezuma town, Indiana,Place,No
Montgomery town, Indiana,Place,Yes
Monticello city, Indiana,Place,No
Montmorenci CDP, Indiana,Place,No
Montpelier city, Indiana,Place,No
Mooreland town, Indiana,Place,No
Moores Hill town, Indiana,Place,No
Mooresville town, Indiana,Place,No
Morgantown town, Indiana,Place,No
Morocco town, Indiana,Place,Yes
Morristown town, Indiana,Place,Yes
Mount Auburn town, Indiana,Place,No
Mount Ayr town, Indiana,Place,No
Mount Carmel town, Indiana,Place,Yes
Mount Etna town, Indiana,Place,No
Mount Summit town, Indiana,Place,Yes
Mount Vernon city, Indiana,Place,No
Mulberry town, Indiana,Place,No
Muncie city, Indiana,Place,No
Munster town, Indiana,Place,No
Napoleon town, Indiana,Place,No
Nappanee city, Indiana,Place,Yes
Nashville town, Indiana,Place,No
New Albany city, Indiana,Place,No
New Amsterdam town, Indiana,Place,No
Newberry town, Indiana,Place,No
Newburgh town, Indiana,Place,No
New Carlisle town, Indiana,Place,Yes
New Castle city, Indiana,Place,No
New Chicago town, Indiana,Place,Yes
New Goshen CDP, Indiana,Place,Yes
New Harmony town, Indiana,Place,No
New Haven city, Indiana,Place,No
New Market town, Indiana,Place,Yes
New Middletown town, Indiana,Place,Yes
New Palestine town, Indiana,Place,No
New Paris CDP, Indiana,Place,No
New Pekin town, Indiana,Place,Yes
New Point town, Indiana,Place,No
Newport town, Indiana,Place,No
New Richmond town, Indiana,Place,No
New Ross town, Indiana,Place,Yes
New Salisbury CDP, Indiana,Place,Yes
Newtown town, Indiana,Place,Yes
New Trenton CDP, Indiana,Place,Yes
New Washington CDP, Indiana,Place,No
New Whiteland town, Indiana,Place,No
Noblesville city, Indiana,Place,No
North Crows Nest town, Indiana,Place,Yes
North Judson town, Indiana,Place,Yes
North Liberty town, Indiana,Place,No
North Manchester town, Indiana,Place,Yes
North Salem town, Indiana,Place,No
North Terre Haute CDP, Indiana,Place,Yes
North Vernon city, Indiana,Place,Yes
North Webster town, Indiana,Place,No
Norway CDP, Indiana,Place,Yes
Notre Dame CDP, Indiana,Place,Yes
Oakland City city, Indiana,Place,No
Oaktown town, Indiana,Place,No
Odon town, Indiana,Place,No
Ogden Dunes town, Indiana,Place,Yes
Oldenburg town, Indiana,Place,No
Onward town, Indiana,Place,Yes
Oolitic town, Indiana,Place,Yes
Orestes town, Indiana,Place,No
Orland town, Indiana,Place,Yes
Orleans town, Indiana,Place,No
Osceola town, Indiana,Place,Yes
Osgood town, Indiana,Place,Yes
Ossian town, Indiana,Place,No
Otterbein town, Indiana,Place,No
Otwell CDP, Indiana,Place,No
Owensburg CDP, Indiana,Place,No
Owensville town, Indiana,Place,No
Oxford town, Indiana,Place,No
Painted Hills CDP, Indiana,Place,Yes
Palmyra town, Indiana,Place,No
Paoli town, Indiana,Place,Yes
Paragon town, Indiana,Place,No
Parker City town, Indiana,Place,Yes
Parkers Settlement CDP, Indiana,Place,No
Patoka town, Indiana,Place,No
Patriot town, Indiana,Place,No
Pendleton town, Indiana,Place,No
Pennville town, Indiana,Place,Yes
Perrysville town, Indiana,Place,No
Peru city, Indiana,Place,Yes
Petersburg city, Indiana,Place,Yes
Pierceton town, Indiana,Place,No
Pine Village town, Indiana,Place,No
Pittsboro town, Indiana,Place,Yes
Plainfield town, Indiana,Place,Yes
Plainville town, Indiana,Place,No
Plymouth city, Indiana,Place,No
Point Isabel CDP, Indiana,Place,No
Poneto town, Indiana,Place,No
Portage city, Indiana,Place,No
Porter town, Indiana,Place,Yes
Portland city, Indiana,Place,No
Poseyville town, Indiana,Place,No
Pottawattamie Park town, Indiana,Place,Yes
Prince's Lakes town, Indiana,Place,No
Princeton city, Indiana,Place,Yes
Raglesville CDP, Indiana,Place,No
Ragsdale CDP, Indiana,Place,No
Redkey town, Indiana,Place,Yes
Remington town, Indiana,Place,No
Rensselaer city, Indiana,Place,No
Reynolds town, Indiana,Place,Yes
Richland town, Indiana,Place,Yes
Richmond city, Indiana,Place,No
Ridgeville town, Indiana,Place,No
Riley town, Indiana,Place,Yes
Rising Sun city, Indiana,Place,No
River Forest town, Indiana,Place,Yes
Roachdale town, Indiana,Place,No
Roann town, Indiana,Place,No
Roanoke town, Indiana,Place,Yes
Rochester city, Indiana,Place,Yes
Rockport city, Indiana,Place,Yes
Rockville town, Indiana,Place,Yes
Rocky Ripple town, Indiana,Place,No
Rolling Prairie CDP, Indiana,Place,No
Rome City town, Indiana,Place,No
Rosedale town, Indiana,Place,Yes
Roseland town, Indiana,Place,No
Roselawn CDP, Indiana,Place,No
Rossville town, Indiana,Place,No
Royal Center town, Indiana,Place,Yes
Rushville city, Indiana,Place,No
Russellville town, Indiana,Place,No
Russiaville town, Indiana,Place,Yes
St. Bernice CDP, Indiana,Place,No
St. Joe town, Indiana,Place,Yes
St. John town, Indiana,Place,Yes
St. Leon town, Indiana,Place,No
St. Mary of the Woods CDP, Indiana,Place,No
St. Meinrad CDP, Indiana,Place,No
St. Paul town, Indiana,Place,Yes
Salamonia town, Indiana,Place,No
Salem city, Indiana,Place,No
Salt Creek Commons CDP, Indiana,Place,No
Saltillo town, Indiana,Place,No
Sandborn town, Indiana,Place,Yes
San Pierre CDP, Indiana,Place,Yes
Santa Claus town, Indiana,Place,No
Saratoga town, Indiana,Place,Yes
Schererville town, Indiana,Place,No
Schneider town, Indiana,Place,No
Scipio CDP, Indiana,Place,No
Scotland CDP, Indiana,Place,No
Scottsburg city, Indiana,Place,Yes
Seelyville town, Indiana,Place,Yes
Sellersburg town, Indiana,Place,No
Selma town, Indiana,Place,No
Seymour city, Indiana,Place,No
Shadeland town, Indiana,Place,No
Shamrock Lakes town, Indiana,Place,No
Sharpsville town, Indiana,Place,No
Shelburn town, Indiana,Place,No
Shelby CDP, Indiana,Place,No
Shelbyville city, Indiana,Place,No
Shepardsville CDP, Indiana,Place,No
Sheridan town, Indiana,Place,No
Shipshewana town, Indiana,Place,Yes
Shirley town, Indiana,Place,Yes
Shoals town, Indiana,Place,No
Shorewood Forest CDP, Indiana,Place,Yes
Sidney town, Indiana,Place,No
Silver Lake town, Indiana,Place,Yes
Simonton Lake CDP, Indiana,Place,No
Sims CDP, Indiana,Place,Yes
Smithville-Sanders CDP, Indiana,Place,No
Somerset CDP, Indiana,Place,No
Somerville town, Indiana,Place,No
South Bend city, Indiana,Place,No
South Haven CDP, Indiana,Place,No
Southport city, Indiana,Place,No
South Whitley town, Indiana,Place,No
Speedway town, Indiana,Place,No
Spencer town, Indiana,Place,No
Spiceland town, Indiana,Place,No
Spring Grove town, Indiana,Place,No
Spring Hill town, Indiana,Place,Yes
Spring Lake town, Indiana,Place,No
Springport town, Indiana,Place,No
Spurgeon town, Indiana,Place,No
Star City CDP, Indiana,Place,Yes
State Line City town, Indiana,Place,Yes
Staunton town, Indiana,Place,No
Stilesville town, Indiana,Place,No
Stinesville town, Indiana,Place,Yes
Stockwell CDP, Indiana,Place,Yes
Straughn town, Indiana,Place,No
Sullivan city, Indiana,Place,Yes
Sulphur Springs town, Indiana,Place,No
Summitville town, Indiana,Place,No
Sunman town, Indiana,Place,Yes
Swayzee town, Indiana,Place,No
Sweetser town, Indiana,Place,Yes
Switz City town, Indiana,Place,Yes
Syracuse town, Indiana,Place,No
Taylorsville CDP, Indiana,Place,Yes
Tecumseh CDP, Indiana,Place,No
Tell City city, Indiana,Place,No
Tennyson town, Indiana,Place,No
Terre Haute city, Indiana,Place,No
Thorntown town, Indiana,Place,No
Tipton city, Indiana,Place,No
Toad Hop CDP, Indiana,Place,Yes
Topeka town, Indiana,Place,Yes
Town of Pines town, Indiana,Place,Yes
Trafalgar town, Indiana,Place,No
Trail Creek town, Indiana,Place,No
Tri-Lakes CDP, Indiana,Place,Yes
Troy town, Indiana,Place,No
Ulen town, Indiana,Place,Yes
Union City city, Indiana,Place,No
Uniondale town, Indiana,Place,Yes
Universal town, Indiana,Place,No
Upland town, Indiana,Place,No
Utica town, Indiana,Place,No
Vallonia CDP, Indiana,Place,No
Valparaiso city, Indiana,Place,No
Van Bibber Lake CDP, Indiana,Place,No
Van Buren town, Indiana,Place,No
Veedersburg town, Indiana,Place,Yes
Vera Cruz town, Indiana,Place,No
Vernon town, Indiana,Place,Yes
Versailles town, Indiana,Place,No
Vevay town, Indiana,Place,No
Vincennes city, Indiana,Place,No
Wabash city, Indiana,Place,Yes
Wakarusa town, Indiana,Place,Yes
Waldron CDP, Indiana,Place,No
Walkerton town, Indiana,Place,No
Wallace town, Indiana,Place,No
Walton town, Indiana,Place,Yes
Wanatah town, Indiana,Place,No
Warren town, Indiana,Place,Yes
Warren Park town, Indiana,Place,Yes
Warsaw city, Indiana,Place,No
Washington city, Indiana,Place,No
Waterloo town, Indiana,Place,Yes
Waveland town, Indiana,Place,No
Waynetown town, Indiana,Place,Yes
West Baden Springs town, Indiana,Place,No
West College Corner town, Indiana,Place,No
Westfield city, Indiana,Place,No
West Harrison town, Indiana,Place,No
West Lafayette city, Indiana,Place,Yes
West Lebanon town, Indiana,Place,No
Westphalia CDP, Indiana,Place,No
West Point CDP, Indiana,Place,Yes
Westport town, Indiana,Place,Yes
West Terre Haute town, Indiana,Place,No
Westville town, Indiana,Place,Yes
Wheatfield town, Indiana,Place,No
Wheatland town, Indiana,Place,No
Wheeler CDP, Indiana,Place,No
Whiteland town, Indiana,Place,No
Whitestown town, Indiana,Place,Yes
Whitewater town, Indiana,Place,No
Whiting city, Indiana,Place,No
Wilkinson town, Indiana,Place,No
Williams CDP, Indiana,Place,Yes
Williams Creek town, Indiana,Place,Yes
Williamsport town, Indiana,Place,Yes
Winamac town, Indiana,Place,No
Winchester city, Indiana,Place,No
Windfall City town, Indiana,Place,No
Winfield town, Indiana,Place,Yes
Wingate town, Indiana,Place,Yes
Winona Lake town, Indiana,Place,Yes
Winslow town, Indiana,Place,Yes
Wolcott town, Indiana,Place,Yes
Wolcottville town, Indiana,Place,Yes
Woodburn city, Indiana,Place,Yes
Woodlawn Heights town, Indiana,Place,Yes
Worthington town, Indiana,Place,No
Wynnedale town, Indiana,Place,Yes
Yeoman town, Indiana,Place,Yes
Yorktown town, Indiana,Place,No
Zanesville town, Indiana,Place,No
Zionsville town, Indiana,Place,Yes
Ackley city, Iowa,Place,Yes
Ackworth city, Iowa,Place,Yes
Adair city, Iowa,Place,No
Adel city, Iowa,Place,Yes
Afton city, Iowa,Place,Yes
Agency city, Iowa,Place,Yes
Ainsworth city, Iowa,Place,No
Akron city, Iowa,Place,No
Albert City city, Iowa,Place,No
Albia city, Iowa,Place,No
Albion city, Iowa,Place,No
Alburnett city, Iowa,Place,Yes
Alden city, Iowa,Place,Yes
Alexander city, Iowa,Place,Yes
Algona city, Iowa,Place,No
Alleman city, Iowa,Place,No
Allerton city, Iowa,Place,No
Allison city, Iowa,Place,No
Alta city, Iowa,Place,Yes
Alta Vista city, Iowa,Place,Yes
Alton city, Iowa,Place,Yes
Altoona city, Iowa,Place,No
Alvord city, Iowa,Place,Yes
Amana CDP, Iowa,Place,Yes
Ames city, Iowa,Place,Yes
Anamosa city, Iowa,Place,No
Anderson CDP, Iowa,Place,No
Andover city, Iowa,Place,Yes
Andrew city, Iowa,Place,No
Anita city, Iowa,Place,Yes
Ankeny city, Iowa,Place,No
Anthon city, Iowa,Place,No
Aplington city, Iowa,Place,No
Arcadia city, Iowa,Place,Yes
Archer city, Iowa,Place,No
Aredale city, Iowa,Place,No
Arion city, Iowa,Place,Yes
Arispe city, Iowa,Place,No
Arlington city, Iowa,Place,Yes
Armstrong city, Iowa,Place,No
Arnolds Park city, Iowa,Place,Yes
Arthur city, Iowa,Place,No
Asbury city, Iowa,Place,Yes
Ashton city, Iowa,Place,No
Aspinwall city, Iowa,Place,Yes
Atalissa city, Iowa,Place,Yes
Athelstan CDP, Iowa,Place,No
Atkins city, Iowa,Place,No
Atlantic city, Iowa,Place,No
Auburn city, Iowa,Place,Yes
Audubon city, Iowa,Place,No
Aurelia city, Iowa,Place,No
Aurora city, Iowa,Place,Yes
Avoca city, Iowa,Place,Yes
Ayrshire city, Iowa,Place,No
Badger city, Iowa,Place,Yes
Bagley city, Iowa,Place,No
Baldwin city, Iowa,Place,Yes
Balltown city, Iowa,Place,Yes
Bancroft city, Iowa,Place,No
Bankston city, Iowa,Place,Yes
Barnes City city, Iowa,Place,Yes
Barnum city, Iowa,Place,Yes
Bartlett CDP, Iowa,Place,No
Bassett city, Iowa,Place,No
Batavia city, Iowa,Place,Yes
Battle Creek city, Iowa,Place,No
Baxter city, Iowa,Place,No
Bayard city, Iowa,Place,Yes
Beacon city, Iowa,Place,Yes
Beaconsfield city, Iowa,Place,No
Beaman city, Iowa,Place,No
Beaver city, Iowa,Place,No
Beaverdale CDP, Iowa,Place,No
Bedford city, Iowa,Place,Yes
Belle Plaine city, Iowa,Place,No
Bellevue city, Iowa,Place,No
Belmond city, Iowa,Place,Yes
Bennett city, Iowa,Place,No
Bentley CDP, Iowa,Place,No
Benton city, Iowa,Place,Yes
Berkley city, Iowa,Place,No
Bernard city, Iowa,Place,No
Bertram city, Iowa,Place,Yes
Bettendorf city, Iowa,Place,No
Bevington city, Iowa,Place,No
Birmingham city, Iowa,Place,Yes
Blairsburg city, Iowa,Place,No
Blairstown city, Iowa,Place,Yes
Blakesburg city, Iowa,Place,No
Blanchard city, Iowa,Place,Yes
Blencoe city, Iowa,Place,No
Blockton city, Iowa,Place,No
Bloomfield city, Iowa,Place,No
Blue Grass city, Iowa,Place,Yes
Bode city, Iowa,Place,No
Bolan CDP, Iowa,Place,No
Bonaparte city, Iowa,Place,Yes
Bondurant city, Iowa,Place,Yes
Boone city, Iowa,Place,No
Bouton city, Iowa,Place,No
Boxholm city, Iowa,Place,No
Boyden city, Iowa,Place,Yes
Braddyville city, Iowa,Place,Yes
Bradford CDP, Iowa,Place,No
Bradgate city, Iowa,Place,Yes
Brandon city, Iowa,Place,No
Brayton city, Iowa,Place,No
Breda city, Iowa,Place,Yes
Bridgewater city, Iowa,Place,Yes
Brighton city, Iowa,Place,Yes
Bristow city, Iowa,Place,No
Britt city, Iowa,Place,No
Bronson city, Iowa,Place,No
Brooklyn city, Iowa,Place,Yes
Brunsville city, Iowa,Place,No
Buckeye city, Iowa,Place,Yes
Buck Grove city, Iowa,Place,Yes
Buffalo city, Iowa,Place,No
Buffalo Center city, Iowa,Place,Yes
Burchinal CDP, Iowa,Place,No
Burlington city, Iowa,Place,No
Burr Oak CDP, Iowa,Place,No
Burt city, Iowa,Place,No
Bussey city, Iowa,Place,No
Calamus city, Iowa,Place,No
California Junction CDP, Iowa,Place,No
Callender city, Iowa,Place,No
Calmar city, Iowa,Place,No
Calumet city, Iowa,Place,Yes
Camanche city, Iowa,Place,No
Cambridge city, Iowa,Place,Yes
Cantril city, Iowa,Place,Yes
Carbon city, Iowa,Place,No
Carlisle city, Iowa,Place,No
Carpenter city, Iowa,Place,Yes
Carroll city, Iowa,Place,No
Carson city, Iowa,Place,No
Carter Lake city, Iowa,Place,Yes
Cascade city, Iowa,Place,No
Casey city, Iowa,Place,No
Castalia city, Iowa,Place,No
Castana city, Iowa,Place,No
